Rank	Display Name	Downloads Total	Downloads Yesterday
174	Expeditions Base	133584	23
175	Terrarian's Bizarre Adventure - JoJo Mod	132301	278
176	Instant Respawn	130690	64
177	Idglib	130171	109
178	[c/0000FF:Azer][c/00C6FF:cad][c/00FFA6:mium] Mod (No Music)	129426	744
179	Subworld Library	128694	373
180	[c/4cff9c:Another RPG Mod]	128325	201
181	Better take a Power Tool	125922	45
182	The Clicker Class	123732	330
183	Banner Bonanza	123419	67
184	Just another Alchemist NPC	122419	58
185	Miscellania	121947	26
186	Brighter Torches	121277	96
187	BuilderPlus	120640	26
188	Litho's Armory	120510	106
189	Better Buffs	119675	122
190	Cheat Hotkeys	119595	22
191	Fast Start	117995	20
192	imkSushi's Mod - Old Recipes Enabler	117550	43
193	[c/6a00ff:Hero][c/5100cc:Sickle]	117131	16
194	Assorted Crazy Things	115742	38
195	TerrariaHooks	115681	0
196	Ultranium	114763	471
197	ItemMagnetPlus	114403	96
198	WeaponOut Lite	114283	236
199	MechTransfer	112959	28
200	JPAN's Bags of Holding mod	111745	23
201	VipixToolbox	111333	38
202	Builder's Toolbox	110771	32
203	(v)Ersion	110520	5
204	Lite's Elemental Hearts	110403	381
205	Expeditions Content Pack	110217	16
206	Polarities Mod	110037	1013
207	Cheat Extensions for Hero's/Cheat Sheet	109490	238
208	Removed nerfs of items	108637	46
209	More Endless Ammo	107298	32
210	Yoyos+ Mod	107260	13
211	Upgrade Equipment	104231	103
212	Faster Start	103882	68
213	Research System from Terraria 1.4	103526	175
214	Mysterious Altars	102877	42
215	Creative tools	102537	270
216	Player Resource Bars	102119	8
217	Vanilla Tweaks	101996	15
218	Enemy Affixes	100042	12
219	Better Yoyos	99975	25
220	[c/4bd5ff:Mystica]	99463	8
221	More Accessories Mod	98160	52
222	ShopWithItemsSummoningBoss	96822	51
223	Calamity mod Traduccion Español	96487	219
224	Minigun	95180	65
225	More Guns Mod	94865	10
226	Unusacies' Battle Rods	93192	39
227	Dark Souls Mod	92210	25
228	[c/22DD97:Storm Diver's Additions Mod]	91547	222
229	[c/fff400:Dynascape] [c/22ff00:(+75k Downloads)]	91246	35
230	The Amulet Of Many Minions	90490	535
231	Magical Things	90247	62
232	[c/7FFF00:AbsoluteRPG by Kenflesh]	90180	116
233	imkSushi's Death Counters Mod	88374	30
234	The Terraria Seed Project (seed search engine)	88128	27
235	Terraria3D	87565	71
236	imkSushi Naturally Occuring Moons Mod	86028	13
237	Material Trader NPC	85464	19
238	Arrival Of The Blind Forest	85010	33
239	Fargo's Music Mod	84680	765
240	Universal Crafter	84624	19
241	MaxStackPlusPlus	83963	48
242	Boss Health Bars	83583	0
243	Calamity Mod English Translation	82378	150
244	Project_Logic	82127	12
245	[c/FFA500:Iridium Mod]	81235	92
246	Ammobox+	81056	29
247	MerchantsPlus	80393	13
248	Modern Firearms	80084	40
249	Terraria Tweaks	80039	6
250	[c/9bffb9:Lighting Essentials]	78540	54
251	Apotheosis & Friends	78503	62
252	Quality of Life: Recipes	77073	7
253	imkSushi Mod: Drops Addon	73572	0
254	Zocklukas' Mod	73344	4
255	Lan's Unlimited Buff Slots	72956	414
256	Early Wings	72828	29
257	Elemental Boots	71820	33
258	[c/59f8d3:Not Enough Flamethrowers]	70429	35
259	ARPG Loot	69143	199
260	Reforge Armor	68855	58
261	Vampire Knives Expanded	68611	22
262	LightPets	68481	14
263	Expeditions Addon : Interactions	67802	12
264	Accessory Slots +	67632	107
265	NPC Info	67577	13
266	Mounted Magic Mirrors	67348	49
267	Guardians mod -New difficulty mode available- -New Class-	67138	114
268	The Yoyo Overload Mod	66746	0
269	Critter Craze	66377	29
270	The Balance Mod	65944	76
271	Fargo's Equipable Inventory	65819	97
272	The Throwing Expansion	65482	8
273	Archeon	65344	80
274	[c/39C117:PickCrafter Mod (A lot of Pickaxes)]	65309	20
275	Boss Materials Plus	64983	31
276	tModLoader Japanese Translation	64962	163
277	Very Short Respawn Time	64954	27
278	BetterNPCs	64725	13
279	[c/00FFFF:Discord Rich Presence] [c/FFA500:(Config Update)]	64706	67
280	[i:182][i:1527] [c/40ff00:Minecraft x Terraria] [i:1527][i:182]	64454	70
281	First Try	63914	39
282	Lan's House Builder	63881	98
283	Pillar Items Plus	63405	4
284	Vape RPG Alpha	63241	10
285	More Costumes and Vanity	62366	28
286	Pokemmon - Pokemon Minion Mod	61987	127
287	More Boss Summons Mod	61842	428
288	Modders Toolkit	61424	21
289	Gadget Galore	61091	16
290	Better Zoom & Camera Control	60695	222
291	Orchid Mod	60653	134
292	The Lunatic	60430	6
293	Thaumaturgy	60275	15
294	Zenith Pickaxe	59891	262
295	Inventory Tweaks	59857	21
296	Botanist NPC	59065	23
297	MoreWings	59039	11
298	Guns & Guns	58782	88
299	Extra Explosives [c/FF4500:(The Bomb Mod)]	58474	113
300	Will's Weapon Pack	58311	16
301	Block Swap (From 1.4)	58252	154
302	More Yoyos	58020	24
303	Ancient's Arsenal	57504	69
304	Super Stacker	57492	23
305	Recipe Browser && Magic Storage	57348	259
306	Varia	57018	83
307	PetRenamer	56931	66
308	imkSushi Name Pack	56527	6
309	DPSExtreme	56455	39
310	Vibrant Reverie (W1K's Mod Redux)	56304	71
311	[c/ffe100:REWORKED!] [c/35eb3f:Yoshi's Island]	55959	43
312	Ultimate Potions Mod	55944	294
313	Quality Of Life	55917	0
314	Crescent	55492	5
315	All the Walls	55371	14
316	JereTheJuggler's Custom Generation	54952	41
317	Rockos ARPG Legacy	54832	19
318	Creative Mode Mod - The Commander	54484	2
319	Miniboss Expansion	54366	10
320	Teleporters unchained	54137	17
321	Legend of Terraria 3	53887	0
322	world tiles flag library	53635	32
323	Corru and Crim NPCs	53267	35
324	Item Modifier	52906	164
325	Fargo's Loot Bonus	52686	52
326	Better Multiplayer	52661	89
327	Vex's Quality of Life Items	52032	18
328	Zenith Gun	51750	270
329	Stamina	51493	12
330	(New Last Prism-like Weapon!) OP Accessory	51477	23
331	Ophioid: A Boss fight mod	51365	48
332	Longbows FTW	51280	7
333	TES Experience System	51217	10
334	[c/03FCAD:Lumberjack NPC]	51176	61
335	Better Paint	50743	11
336	Infinite Wormholes v1.1	50672	38
337	House Builder	50569	38
338	Rockos ARPG	50543	0
339	Spectral Aves' Calamity Chiptune Boxes Mod	50543	12
340	Sell Slot	50534	21
341	The Potion Merchant	50432	18
342	Overpowered Stuff	50141	4
343	FullHPWhenRespawn	50124	91
344	FlyingMinionsIgnoreTerrain	49635	12
345	Ultraconyx Mod	49450	26
346	imkSushi Mod: Potions Addon	49323	0
347	Mask Shop	49118	14
348	Builder Essentials	48744	46
349	[c/aabdff:Pokéfox Pets]	48707	34
350	Terranova	48652	1
351	Example Mod	48516	50
352	Expanded Sentries	48203	104
353	Lostlorn	47952	3
354	[c/ff99ff:Element Powers]	47756	49
355	One Punch Mod	47717	349
356	Fargo's Fallen Stars	47648	86
357	Risk of Slime Rain	47598	41
358	Psycho!	47342	15
359	[c/FFFF88:tMod ][c/FFAAAA:Kor][c/AAAAFF:ean][c/FFFF88: Translator]	47327	55
360	Spectra Mod	47209	349
361	Zenith Tier Items	46856	182
362	[i/p57:521] [c/FF00FF:Absolution Mod] [i/p57:520]	46667	94
363	Boxinator	46650	26
364	Dye Easy	46516	2
365	imkSushi's Data Packs	46309	17
366	Yoyos Expanded	46281	97
367	Silk Touch	46242	8
368	Angler Quest Announcement	46016	30
369	Nice Blocks	45747	15
370	Vending Machines	45740	9
371	Improved Pillar Event (Configurable)	45483	43
372	Shekels	45470	19
373	Realm Of The Abyssal Lords (Open Alpha)	45339	279
374	OP+Recipes	45273	8
375	Flight Left Timer	44733	30
376	Sleep Mod	44662	89
377	More Things Mod	44537	21
378	Quality of Life: Rebranded	44299	0
379	Platform Helper	44044	42
380	NoLefs's Mod	43973	72
381	World Expansion	43709	11
382	Potion Seller Reborn	43702	33
383	Regen From Bosses	43676	7
384	Calamity Weapons Unleashed	43652	38
385	Fun Death Sounds	43532	34
386	Calamity Yoyo Bag Buffed	43480	35
387	[c/00edff:Aerovelence Mod]	43401	169
388	Wacky NPCs	43342	61
389	Too Many Accessories	42729	55
390	Gambler NPC	42442	10
391	Tactical Nuke	42403	26
392	GabeHasWon's Mod	42232	2
393	Spelunker Armour	42173	269
394	Mo' Guns	41527	16
395	[c/3234C5:♥ Fabu's Mod ♥]	41323	9
396	Endless Crafting	41149	13
397	SAO Swords	41040	18
398	Star Wars Mod	40932	22
399	Succubi's Wrath	40926	11
400	Use Control to Quick Trash (From 1.4)	40882	110
401	Secrets Of The Shadows	40877	115
402	Expanded Terraria	40749	0
403	Camping	40664	60
404	Box of Gadgets	40615	11
405	Battle Buff 24/7	40585	301
406	(Major Update!) Galaxium	40542	17
